Name,Genre,Publisher,Year,Global_Sales,Decade,FranchiseTag
007 quantum of solace,action,activision,2008,3.92,2000,0
007 racing,racing,electronic arts,2000,0.53,2000,0
007 the world is not enough,action,electronic arts,2000,2.47,2000,0
007 tomorrow never dies,shooter,electronic arts,1999,3.21,1990,0
1 vs 100,misc,dsi games,2008,0.09,2000,0
10 minute solution,sports,activision,2010,0.08,2010,0
100 alltime favorites,puzzle,ubisoft,2009,0.51,2000,0
100 classic books,misc,nintendo,2008,0.67,2000,0
100 classic games,misc,rondomedia,2011,0.04,2010,0
1000 cooking recipes from elle  table,misc,nintendo,2010,0.03,2010,0
1001 touch games,action,avanquest,2011,0.33,2010,0
101in1 explosive megamix,puzzle,nordcurrent,2008,0.2,2000,0
101in1 party megamix wii,misc,nordcurrent,2009,0.23,2000,0
101in1 sports megamix,sports,nordcurrent,2010,0.08,2010,0
101in1 sports party megamix,sports,nordcurrent,2010,0.03,2010,0
1080 teneighty snowboarding,sports,nintendo,1998,2.03,1990,0
11eyes crossover,adventure,5pb,2009,0.04,2000,0
12 summer ,adventure,kaga create,2013,0.01,2010,0
12riven the psicliminal of integral,adventure,cyberfront,2008,0.04,2000,0
12sai honto no kimochi,adventure,happinet,2014,0.07,2010,0
12sai koisuru diary,adventure,happinet,2016,0.04,2010,0
15 days,adventure,dtp entertainment,2009,0.01,2000,0
1701 ad,simulation,deep silver,2006,0.3,2000,0
18 wheeler american pro trucker,racing,acclaim entertainment,2001,0.51,2000,0
18 wheels of steel extreme trucker,racing,rondomedia,2009,0.02,2000,0
18 wheels of steel extreme trucker 2,racing,rondomedia,2011,0.11,2010,1
187 ride or die,racing,ubisoft,2005,0.21,2000,0
1942,shooter,capcom,1985,1.0,1980,0
2 games in 1 disney princess  the lion king,misc,thq,2004,1.75,2000,1
2 games in 1 disneys brother bear  the lion king 1 12,action,thq,2005,0.31,2000,1
2 games in 1 double pack hot wheels velocity x  hot wheels world race,racing,thq,2005,0.12,2000,1
2 games in 1 double pack the incredibles  finding nemo the continuing adventures,action,thq,2007,1.76,2000,1
2 games in 1 sonic advance  chuchu rocket,misc,thq,2005,1.83,2000,1
2 games in 1 sonic battle  chuchu rocket,misc,thq,2005,0.61,2000,1
2 games in 1 sonic pinball party  columns crown,misc,sega,2005,0.06,2000,1
2 games in 1 spongebob squarepants supersponge  rugrats go wild,platform,thq,2005,0.45,2000,1
2 in 1 combo pack sonic heroes  super monkey ball deluxe,misc,sega,2004,0.65,2000,1
2002 fifa world cup,sports,electronic arts,2002,0.83,2000,0
2010 fifa world cup south africa,sports,electronic arts,2010,3.0,2010,0
2014 fifa world cup brazil,sports,electronic arts,2014,1.18,2010,0
24 the game,adventure,sony computer entertainment,2006,0.3,2000,0
25 to life,shooter,eidos interactive,2006,0.59,2000,0
2in1 game pack spiderman  spiderman 2,platform,activision,2005,0.09,2000,1
2xtreme,sports,sony computer entertainment,1996,1.4,1990,0
3 in 1 solitaire mahjong  tangram,misc,deep silver,2010,0.08,2010,1
300 march to glory,action,warner bros interactive entertainment,2007,0.41,2000,0
3d baseball,sports,bmg interactive entertainment,1996,0.03,1990,0
3d dot game heroes,roleplaying,southpeak games,2009,0.57,2000,0
3d lemmings,puzzle,psygnosis,1995,0.06,1990,0
3d tank warfare simulator panzer front,simulation,avalon interactive,1999,0.1,1990,0
3ds classic collection,misc,sega,2016,0.03,2010,0
3rd super robot wars z jigoku hen,roleplaying,namco bandai games,2014,0.42000000000000004,2010,0
3rd super robot wars z tengokuhen,action,namco bandai games,2015,0.33999999999999997,2010,0
3xtreme,action,989 studios,1999,0.9,1990,0
4 elements,puzzle,mastertronic,2009,0.05,2000,1
4 game fun pack monopoly  boggle  yahtzee  battleship,misc,atari,2005,0.12,2000,1
4 nin uchi mahjong,misc,nintendo,1984,1.45,1980,1
40 winks,platform,gt interactive,1999,0.31,1990,0
428 fuusa sareta shibuya de,adventure,sega,2008,0.19,2000,0
4x4 evo 2,racing,gathering of developers,2001,0.38,2000,1
4x4 evolution,racing,gathering of developers,2001,0.32,2000,0
50 cent blood on the sand,shooter,thq,2009,0.4,2000,0
50 cent bulletproof,action,vivendi games,2005,2.3,2000,0
50 classic games,misc,destineer,2009,0.5700000000000001,2000,0
64 de hakken tamagotchi minna de tamagotchi world,misc,namco bandai games,1997,0.22,1990,0
7 days to die,action,telltale games,2016,0.16,2010,1
7 roses a darkness rises,misc,avanquest software,2015,0.02,2010,1
7 wonders ii,puzzle,rondomedia,2009,0.32,2000,1
7 wonders of the ancient world,puzzle,funsta,2007,0.21000000000000002,2000,1
7 wonders treasures of seven,puzzle,avanquest,2011,0.05,2010,1
7th dragon,roleplaying,sega,2009,0.14,2000,0
7th dragon 2020,roleplaying,sega,2011,0.2,2010,0
7th dragon 2020ii,roleplaying,sega,2013,0.13,2010,0
7th dragon iii code vfd,roleplaying,sega,2015,0.16,2010,1
98 koshien,sports,magical company,1998,0.41,1990,0
99 no namida,adventure,namco bandai games,2008,0.04,2000,0
999 nine hours nine persons nine doors,adventure,chunsoft,2009,0.43,2000,0
a boy and his blob,platform,majesco entertainment,2009,0.22,2000,0
a bugs life,platform,sony computer entertainment,1998,3.42,1990,0
a collection of activision classic games for the atari 2600,misc,activision,1998,1.37,1990,0
a collection of classic games from the intellivision,misc,activision,1999,0.31,1990,0
a game of thrones genesis,strategy,focus home interactive,2011,0.04,2010,0
a good librarian like a good shepherd library party,action,kaga create,2015,0.03,2010,0
a iv evolution a ressha de ikou 4,strategy,artdink,1994,0.25,1990,1
a lli sv a ressha de gyoukou 3 super version,simulation,packinvideo,1995,0.06,1990,1
a new beginning,adventure,deep silver,2010,0.06,2010,0
a ressha de gyoukou 2001,simulation,artdink,2001,0.03,2000,0
a ressha de ikou ds,simulation,artdink,2009,0.04,2000,0
a vampyre story,adventure,crimson cow,2008,0.02,2000,0
a witchs tale,roleplaying,nippon ichi software,2009,0.11,2000,0
aa megamisamaa,adventure,marvelous interactive,2007,0.01,2000,0
abba you can dance,misc,ubisoft,2011,0.8,2010,0
abunai koi no sousa shitsu,action,asgard,2015,0.03,2010,0
academy of champions soccer,sports,ubisoft,2009,0.13,2000,0
accel world ginyoku no kakusei,adventure,namco bandai games,2012,0.06,2010,0
accel world kasoku no chouten,adventure,namco bandai games,2013,0.03,2010,0
acdc live rock band track pack,misc,mtv games,2008,0.91,2000,0
ace another centurys episode,simulation,banpresto,2005,0.26,2000,0
ace another centurys episode 2,simulation,banpresto,2006,0.18,2000,1
ace another centurys episode 3 the final,simulation,banpresto,2007,0.26,2000,1
ace another centurys episode portable,simulation,namco bandai games,2011,0.12,2010,0
ace another centurys episode r,simulation,namco bandai games,2010,0.26,2010,0
