Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,FranchiseTag,Total_Regional_Sales,Sales_Ratio
1,wii sports,wii,2006,sports,nintendo,41.49,29.02,3.77,8.46,82.74,2000,0,82.74000000000001,1.0
2,super mario bros,nes,1985,platform,nintendo,29.08,3.58,6.81,0.77,40.24,1980,0,40.24,1.0
3,mario kart wii,wii,2008,racing,nintendo,15.85,12.88,3.79,3.31,35.82,2000,0,35.830000000000005,1.0
4,wii sports resort,wii,2009,sports,nintendo,15.75,11.01,3.28,2.96,33.0,2000,0,33.0,1.0
5,pokemon redpokemon blue,gb,1996,roleplaying,nintendo,11.27,8.89,10.22,1.0,31.37,1990,0,31.380000000000003,1.0
6,tetris,gb,1989,puzzle,nintendo,23.2,2.26,4.22,0.58,30.26,1980,0,30.259999999999998,1.0
7,new super mario bros,ds,2006,platform,nintendo,11.38,9.23,6.5,2.9,30.01,2000,0,30.009999999999998,1.0
8,wii play,wii,2006,misc,nintendo,14.03,9.2,2.93,2.85,29.02,2000,0,29.009999999999998,1.0
9,new super mario bros wii,wii,2009,platform,nintendo,14.59,7.06,4.7,2.26,28.62,2000,0,28.61,1.0
10,duck hunt,nes,1984,shooter,nintendo,26.93,0.63,0.28,0.47,28.31,1980,0,28.31,1.0
11,nintendogs,ds,2005,simulation,nintendo,9.07,11.0,1.93,2.75,24.76,2000,0,24.75,1.0
12,mario kart ds,ds,2005,racing,nintendo,9.81,7.57,4.13,1.92,23.42,2000,0,23.43,1.0
13,pokemon goldpokemon silver,gb,1999,roleplaying,nintendo,9.0,6.18,7.2,0.71,23.1,1990,0,23.09,1.0
14,wii fit,wii,2007,sports,nintendo,8.94,8.03,3.6,2.15,22.72,2000,0,22.72,1.0
15,wii fit plus,wii,2009,sports,nintendo,9.09,8.59,2.53,1.79,22.0,2000,0,22.0,1.0
16,kinect adventures,x360,2010,misc,microsoft game studios,14.97,4.94,0.24,1.67,21.82,2010,0,21.82,1.0
17,grand theft auto v,ps3,2013,action,taketwo interactive,7.01,9.27,0.97,4.14,21.4,2010,1,21.39,1.0
18,grand theft auto san andreas,ps2,2004,action,taketwo interactive,9.43,0.4,0.41,10.57,20.81,2000,0,20.810000000000002,1.0
19,super mario world,snes,1990,platform,nintendo,12.78,3.75,3.54,0.55,20.61,1990,0,20.62,1.0
20,brain age train your brain in minutes a day,ds,2005,misc,nintendo,4.75,9.26,4.16,2.05,20.22,2000,0,20.220000000000002,1.0
21,pokemon diamondpokemon pearl,ds,2006,roleplaying,nintendo,6.42,4.52,6.04,1.37,18.36,2000,0,18.35,1.0
22,super mario land,gb,1989,platform,nintendo,10.83,2.71,4.18,0.42,18.14,1980,0,18.14,1.0
23,super mario bros 3,nes,1988,platform,nintendo,9.54,3.44,3.84,0.46,17.28,1980,1,17.28,1.0
24,grand theft auto v,x360,2013,action,taketwo interactive,9.63,5.31,0.06,1.38,16.38,2010,1,16.380000000000003,1.0
25,grand theft auto vice city,ps2,2002,action,taketwo interactive,8.41,5.49,0.47,1.78,16.15,2000,0,16.150000000000002,1.0
26,pokemon rubypokemon sapphire,gba,2002,roleplaying,nintendo,6.06,3.9,5.38,0.5,15.85,2000,0,15.84,1.0
27,pokemon blackpokemon white,ds,2010,roleplaying,nintendo,5.57,3.28,5.65,0.82,15.32,2010,0,15.32,1.0
28,brain age 2 more training in minutes a day,ds,2005,puzzle,nintendo,3.44,5.36,5.32,1.18,15.3,2000,1,15.3,1.0
29,gran turismo 3 aspec,ps2,2001,racing,sony computer entertainment,6.85,5.09,1.87,1.16,14.98,2000,1,14.969999999999999,1.0
30,call of duty modern warfare 3,x360,2011,shooter,activision,9.03,4.28,0.13,1.32,14.76,2010,1,14.76,1.0
31,pokmon yellow special pikachu edition,gb,1998,roleplaying,nintendo,5.89,5.04,3.12,0.59,14.64,1990,0,14.64,1.0
32,call of duty black ops,x360,2010,shooter,activision,9.67,3.73,0.11,1.13,14.64,2010,0,14.64,1.0
33,pokemon xpokemon y,3ds,2013,roleplaying,nintendo,5.17,4.05,4.34,0.79,14.35,2010,0,14.349999999999998,1.0
34,call of duty black ops 3,ps4,2015,shooter,activision,5.77,5.81,0.35,2.31,14.24,2010,1,14.239999999999998,1.0
35,call of duty black ops ii,ps3,2012,shooter,activision,4.99,5.88,0.65,2.52,14.03,2010,1,14.040000000000001,1.0
36,call of duty black ops ii,x360,2012,shooter,activision,8.25,4.3,0.07,1.12,13.73,2010,1,13.740000000000002,1.0
37,call of duty modern warfare 2,x360,2009,shooter,activision,8.52,3.63,0.08,1.29,13.51,2000,1,13.52,1.0
38,call of duty modern warfare 3,ps3,2011,shooter,activision,5.54,5.82,0.49,1.62,13.46,2010,1,13.469999999999999,1.0
39,grand theft auto iii,ps2,2001,action,taketwo interactive,6.99,4.51,0.3,1.3,13.1,2000,1,13.100000000000001,1.0
40,super smash bros brawl,wii,2008,fighting,nintendo,6.75,2.61,2.66,1.02,13.04,2000,0,13.04,1.0
41,call of duty black ops,ps3,2010,shooter,activision,5.98,4.44,0.48,1.83,12.73,2010,0,12.730000000000002,1.0
42,animal crossing wild world,ds,2005,simulation,nintendo,2.55,3.52,5.33,0.88,12.27,2000,0,12.280000000000001,1.0
43,mario kart 7,3ds,2011,racing,nintendo,4.74,3.91,2.67,0.89,12.21,2010,1,12.21,1.0
44,halo 3,x360,2007,shooter,microsoft game studios,7.97,2.83,0.13,1.21,12.14,2000,1,12.14,1.0
45,grand theft auto v,ps4,2014,action,taketwo interactive,3.8,5.81,0.36,2.02,11.98,2010,1,11.989999999999998,1.0
46,pokemon heartgoldpokemon soulsilver,ds,2009,action,nintendo,4.4,2.77,3.96,0.77,11.9,2000,0,11.899999999999999,1.0
47,super mario 64,n64,1996,platform,nintendo,6.91,2.85,1.91,0.23,11.89,1990,0,11.9,1.0
48,gran turismo 4,ps2,2004,racing,sony computer entertainment,3.01,0.01,1.1,7.53,11.66,2000,1,11.649999999999999,1.0
49,super mario galaxy,wii,2007,platform,nintendo,6.16,3.4,1.2,0.76,11.52,2000,0,11.52,1.0
50,pokemon omega rubypokemon alpha sapphire,3ds,2014,roleplaying,nintendo,4.23,3.37,3.08,0.65,11.33,2010,0,11.33,1.0
51,super mario land 2 6 golden coins,gb,1992,adventure,nintendo,6.16,2.04,2.69,0.29,11.18,1990,1,11.179999999999998,1.0
52,grand theft auto iv,x360,2008,action,taketwo interactive,6.76,3.1,0.14,1.03,11.02,2000,1,11.03,1.0
53,gran turismo,ps,1997,racing,sony computer entertainment,4.02,3.87,2.54,0.52,10.95,1990,0,10.95,1.0
54,super mario 3d land,3ds,2011,platform,nintendo,4.89,2.99,2.13,0.78,10.79,2010,0,10.79,1.0
55,gran turismo 5,ps3,2010,racing,sony computer entertainment,2.96,4.88,0.81,2.12,10.77,2010,1,10.77,1.0
56,call of duty modern warfare 2,ps3,2009,shooter,activision,4.99,3.69,0.38,1.63,10.69,2000,1,10.690000000000001,1.0
57,grand theft auto iv,ps3,2008,action,taketwo interactive,4.76,3.76,0.44,1.62,10.57,2000,1,10.579999999999998,1.0
58,super mario allstars,snes,1993,platform,nintendo,5.99,2.15,2.12,0.29,10.55,1990,0,10.55,1.0
59,pokemon fireredpokemon leafgreen,gba,2004,roleplaying,nintendo,4.34,2.65,3.15,0.35,10.49,2000,0,10.49,1.0
60,super mario 64,ds,2004,platform,nintendo,5.08,3.11,1.25,0.98,10.42,2000,0,10.42,1.0
61,just dance 3,wii,2011,misc,ubisoft,6.05,3.15,0.0,1.07,10.26,2010,1,10.27,1.0
62,call of duty ghosts,x360,2013,shooter,activision,6.72,2.63,0.04,0.82,10.21,2010,0,10.209999999999999,1.0
63,halo reach,x360,2010,shooter,microsoft game studios,7.03,1.98,0.08,0.78,9.88,2010,0,9.87,1.0
